Time, Preassure, Temperature, Altitude
446983,101201.30,18.79,10.30
447495,101201.30,18.79,10.30
448007,101201.88,18.79,10.26
448518,101201.72,18.79,10.27
449030,101201.72,18.79,10.27
449542,101201.72,18.79,10.27
450054,101201.55,18.79,10.28
450566,101201.40,18.79,10.30
451077,101201.40,18.79,10.30
451589,101201.40,18.79,10.30
452101,101201.23,18.79,10.31
452613,101201.40,18.79,10.30
453124,101201.23,18.79,10.31
453636,101201.23,18.79,10.31
454148,101201.08,18.79,10.32
454660,101200.91,18.79,10.34
455171,101200.91,18.79,10.34
455686,101201.17,18.79,10.31
456198,101201.02,18.79,10.33
456709,101201.17,18.79,10.31
457221,101201.02,18.79,10.33
457733,101201.02,18.79,10.33
458244,101201.02,18.79,10.33
458756,101201.25,18.80,10.31
459268,101201.09,18.80,10.32
459804,101200.92,18.80,10.34
460316,101201.35,18.80,10.30
460828,101201.03,18.80,10.33
461340,101201.03,18.80,10.33
461851,101201.03,18.80,10.33
462363,101200.88,18.80,10.34
462875,101201.29,18.80,10.30
463386,101200.97,18.80,10.33
463898,101200.81,18.80,10.34
464412,101201.07,18.80,10.32
464924,101201.07,18.80,10.32
465436,101201.30,18.81,10.30
465948,101201.14,18.81,10.32
466459,101201.41,18.81,10.30
466971,101201.09,18.81,10.32
467483,101201.02,18.81,10.33
467994,101200.87,18.81,10.34
468506,101201.13,18.81,10.32
469018,101201.36,18.82,10.30
469529,101201.63,18.82,10.28
470041,101201.63,18.82,10.28
470553,101201.72,18.82,10.27
471064,101201.40,18.82,10.30
471576,101201.66,18.82,10.27
472088,101201.66,18.82,10.27
472599,101201.89,18.83,10.25
473114,101202.16,18.83,10.23
473626,101202.42,18.83,10.21
474137,101202.52,18.83,10.20
474649,101202.42,18.84,10.21
